Index,miRNA
255,hsa-mir-519d
256,hsa-mir-519e
257,hsa-mir-520a
258,hsa-mir-520c
259,hsa-mir-520d
260,hsa-mir-520f
261,hsa-mir-520g
262,hsa-mir-520h
263,hsa-mir-521-1
264,hsa-mir-521-2
265,hsa-mir-522
266,hsa-mir-523
267,hsa-mir-524
268,hsa-mir-525
269,hsa-mir-526b
270,hsa-mir-527
271,hsa-mir-532
272,hsa-mir-539
273,hsa-mir-543
274,hsa-mir-544a
275,hsa-mir-544b
276,hsa-mir-545
277,hsa-mir-548a-1
278,hsa-mir-548a-2
279,hsa-mir-548a-3
280,hsa-mir-548an
281,hsa-mir-548b
282,hsa-mir-548c
283,hsa-mir-548d-1
284,hsa-mir-548d-2
285,hsa-mir-548j
286,hsa-mir-548l
287,hsa-mir-548t
288,hsa-mir-550a-1
289,hsa-mir-550a-2
290,hsa-mir-550a-3
291,hsa-mir-550b-1
292,hsa-mir-550b-2
293,hsa-mir-551a
294,hsa-mir-551b
295,hsa-mir-570
296,hsa-mir-603
297,hsa-mir-642a
298,hsa-mir-642b
299,hsa-mir-655
300,hsa-mir-656
301,hsa-mir-660
302,hsa-mir-663a
303,hsa-mir-663b
304,hsa-mir-7-1
305,hsa-mir-7-2
306,hsa-mir-7-3
307,hsa-mir-758
308,hsa-mir-888
309,hsa-mir-892a
310,hsa-mir-892b
311,hsa-mir-9-1
312,hsa-mir-9-2
313,hsa-mir-9-3
314,hsa-mir-92a-1
315,hsa-mir-92a-2
316,hsa-mir-92b
317,hsa-mir-93
318,hsa-mir-941-1
319,hsa-mir-941-3
320,hsa-mir-941-4
321,hsa-mir-95
322,hsa-mir-98
323,hsa-mir-99a
324,hsa-mir-99b
